Frame,Sub Frame,RF,BF,MG,LG,AT
77,2,0.00411987,0.0743866,0.0318146,0.0255966,0.0419617
77,3,0.00476837,0.197105,0.0360107,0.0305557,0.034256
77,4,0.00423431,0.162354,0.0456619,0.0436783,0.0422668
78,0,0.00404358,-0.171356,0.0502396,0.0543213,0.109024
78,1,0.00293732,-0.0115585,0.0440598,0.0527954,0.0773239
78,2,-0.00270844,0.208893,0.0364304,0.0468826,0.0271988
78,3,-0.00118256,0.0640106,0.0218201,0.0365448,0.111084
78,4,0.000228882,0.00965118,0.0124741,0.0278091,0.134277
79,0,-0.00312805,-0.152054,0.0162506,0.0312042,0.051384
79,1,-0.000267029,-0.123482,0.0287247,0.0441742,-0.0807953
79,2,0.00232697,0.000572205,0.0458908,0.0532532,-0.176086
79,3,-0.000343323,-0.186729,0.0587845,0.0695801,-0.192413
79,4,-0.000801086,-0.0946045,0.062294,0.0709534,-0.111732
80,0,-0.00267029,0.104408,0.0588989,0.065918,0.252571
80,1,-0.00164032,0.118752,0.0540924,0.0598907,0.445938
80,2,0.00289917,0.105438,0.0411987,0.0432968,0.18219
80,3,0.00614166,-0.0362778,0.0281525,0.0311279,-0.0888062
80,4,0.00419617,-0.0379562,0.0257874,0.032196,-0.16983
